District,Talukas
Ahmednagar,"['Ahmadnagar', 'Akola', 'Karjat', 'Kopargaon', 'Nevasa', 'Parner', 'Pathardi', 'Rahuri', 'Sangamner', 'Shevgaon', 'Shrigonda', 'Shrirampur']"
Akola,"['Akot', 'Barsi Takli', 'Murtajapur', 'Patur', 'Telhara']"
Amravati,"['Achalpur', 'Anjangaon', 'Bhatkuli Jain', 'Chandur Bazar', 'Chandur', 'Chikhaldara', 'Daryapur', 'Dharni', 'Morshi', 'Nandgaon Khandeshwar', 'Tivsa', 'Warud']"
Aurangabad,"['Gangapur', 'Kannad', 'Khuldabad', 'Paithan', 'Sillod', 'Soygaon', 'Vaijapur']"
Bhandara,"['Amgaon', 'Lakhandur', 'Mohari', 'Pawni', 'Sakoli', 'Salekasa', 'Tumsar']"
Bid,"['Ambajogai', 'Ashti', 'Gevrai', 'Jamkhed', 'Kaij', 'Majalgaon', 'Patoda']"
Buldana,"['Chikhli', 'Jalgaon', 'Lonar', 'Malkapur', 'Chikhli', 'Nandura', 'Sangrampur', 'Sindkhed Raja']"
Chandrapur,"['Bhadravathi', 'Bramhapuri', 'Chimur', 'Gond Pipri', 'Mul', 'Nagbhir', 'Rajura', 'Sindewahi', 'Warora']"
Dhule,"['Sakri', 'Shirpur', 'Sindkheda']"
Garhchiroli,"['Ahiri', 'Armori', 'Chamursi', 'Dhanora', 'Itapalli', 'Kurkheda', 'Sironcha']"
Gondiya,"['Arjuni Morgaon', 'Deori', 'Gondia', 'Goregaon', 'Tirora']"
Greater Bombay,"['Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Mumbai', 'Thane']"
Hingoli,"['Basmat', 'Kalamnuri']"
Jalgaon,"['Amalner', 'Bhadgaon', 'Bhusawal', 'Chalisgaon', 'Chopda', 'Edalabad', 'Erandol', 'Jamner', 'Pachora', 'Parola', 'Raver', 'Yaval']"
Jalna,"['Ambad', 'Bhokardan', 'Jaffarabad', 'Partur']"
Kolhapur,"['Ajra', 'Bavda', 'Chandgad', 'Gadhinglaj', 'Gargoti', 'Hatkalangda', 'Kagal', 'Panhala', 'Radhanagari', 'Shahuwadi', 'Shirol']"
Latur,"['Ahmadpur', 'Ausa', 'Nilanga', 'Udgir']"
Nagpur,"['Bhiwapur', 'Hingana', 'Kalmeshwar', 'Kamthi', 'Katol', 'Kuhi', 'Mauda', 'Narkher', 'Parsivni', 'Ramtek', 'Savner', 'Umred']"
Nanded,"['Bhokar', 'Biloli', 'Diglur', 'Hadgaon', 'Kandahar', 'Kinwat', 'Mukher']"
Nandurbar,"['Akkalkuva', 'Dhadgaon', 'Navapur', 'Shahada', 'Taloda']"
Nashik,"['Chandvad', 'Dindori', 'Igatpuri', 'Kalvan', 'Malegaon', 'Nandgaon', 'Niphad', 'Peint', 'Satana', 'Sinnar', 'Surgana', 'Yeola']"
Osmanabad,"['Bhum', 'Kallam', 'Parenda', 'Tuljapur', 'Umarga']"
Parbhani,"['Gangakher', 'Jintur', 'Pathri']"
Pune,"['Baramati', 'Bhor', 'Daund', 'Ghod', 'Indapur', 'Junnar', 'Haveli', 'Paud', 'Rajgurunagar', 'Sasvad', 'Shirur', 'Wadgaon']"
Raigarh,"['Alibag', 'Khalapur', 'Mahad', 'Mangaon', 'Mhasla', 'karjat', 'Panvel', 'uran', 'Murud', 'Shrivardhan', 'Pali', 'Pen', 'Poladpur', 'Roha']"
Ratnagiri,"['Chiplun', 'Dapoli', 'Devrukh', 'Guhagar', 'Khed', 'Lanja', 'Mandangarh', 'Rajapur']"
Sangli,"['Atpadi', 'Islampur', 'Jath', 'Kavathe Mahankal', 'Shirala', 'Tasgaon', 'Vite']"
Satara,"['Dahivadi', 'Karad', 'Koregaon', 'Mahabaleshwar', 'Medha', 'Patan', 'Phaltan', 'Shirwal', 'Vaduj', 'Wai']"
Sindhudurg,"['Devgarh', 'Kankauli', 'Kudal', 'Malvan', 'Savantvadi', 'Vaibhavwadi', 'Vengurla']"
Solapur,"['Akalkot', 'Barsi', 'Karmal', 'Madha', 'Malsiras', 'Mangalwedha', 'Mohol', 'Solapur(South)', 'Pandharpur', 'Sangole']"
Thane,"['Bhiwandi', 'Dahanu', 'Jawhar', 'Kalyan', 'Mokhada', 'Murbad', 'Palghar', 'Shahapur', 'Talasri', 'Ulhasnagar', 'Vada', 'Vasai']"
Wardha,"['Arvi', 'Ashti', 'Deoli', 'Hinganghat', 'Karanja', 'Samudrapur', 'Selu']"
Washim,"['Karanja', 'Malegaon', 'Mangrul Pir', 'Manora', 'Risod']"
Yavatmal,"['Babulgaon', 'Darwha', 'Digras', 'Ghatanji', 'Kalam', 'Mahagaon', 'Maregaon', 'Ner', 'Pandharkawada', 'Pusad', 'Ralegaon', 'Umarkhed', 'Wani']"
