name,file_name,color,
panvel,Panvel_Boundary.shp,#000000
ward1,Division1.shp,#000000
ward2,Division2.shp,#000000
ward3,Division3.shp,#000000
ward4,Division4.shp,#000000
cidco,Panvel_And_CIDCO_Jurisdiction.shp,#a75153
road,Road_Network.shp,#d6541d
railway,Railway_Network.shp,#000000
builtup,Modified_Total.geojson,#9f0000
tree,Tree.geojson,#155d0d
water,Water.shp,#19c2ff
mangrove,Mangrove_Swamps.geojson,#4DAF4A
div,Division.shp,#a7ca72
sec,Sectors.geojson,#731c7b
plot,Plot.shp,#a3c4eb
vill,Village_Boundary.shp,#4789e7
prabhag,Prabhag.shp,#2dbf82
nov_2019,Join_Nov_2019.geojson,#FF6262
nov_2020,Join_Nov_2020.geojson,#08e8de
nov_2021,Nov_2021.geojson,#08e8de
may_2020,Join_May_2020.geojson,#3FEF14
may_2021,Join_May_2021.geojson,#E8E627
may_2022,May_2022.geojson,#EF14D1
jan_2023,Jan_2023.geojson,#E8E627

